Date-time;Type;Metadato grafico storico;SER007 - San Giorgio - Misura livello vasca sinistra (m);SER007 - San Giorgio - Misura livello vasca destra (m);SER007 - San Giorgio - Portata ingresso vasca (l/s);SER007 - San Giorgio - Portata uscita Guncina (l/s);SER007 - San Giorgio - Portata uscita Rafenstein (l/s)
2025/03/16 15:35:00;A;;;;;0,0;
2025/03/16 15:37:00;A;;;2,65;;;
2025/03/16 15:38:00;A;;2,70;;;;
2025/03/16 15:44:00;A;;;2,70;;;
2025/03/16 15:45:00;A;;2,76;2,71;0,0;0,0;0,3
2025/03/16 15:45:01;P;;2,76;;;;
2025/03/16 15:52:00;A;;;2,76;;;
2025/03/16 15:53:00;A;;2,82;;;;
2025/03/16 15:59:00;A;;;2,81;;;
2025/03/16 16:00:00;P;;2,87;2,82;0,0;0,0;0,2
2025/03/16 16:07:00;A;;2,93;2,88;;;
2025/03/16 16:14:00;A;;2,98;2,93;;;
2025/03/16 16:15:00;P;;2,99;2,94;0,0;0,0;0,0
2025/03/16 16:21:00;A;;3,04;;;;
2025/03/16 16:22:00;A;;;3,00;;;
2025/03/16 16:25:00;A;;;;;;0,2
2025/03/16 16:30:00;P;;3,03;2,99;0,0;0,0;0,2
2025/03/16 16:45:00;P;;3,03;2,98;0,0;0,0;0,3
2025/03/16 17:00:00;A;;3,01;2,97;0,0;0,5;0,5
2025/03/16 17:00:01;P;;;;;0,5;0,5
2025/03/16 17:10:00;A;;;;;;0,2
2025/03/16 17:15:00;P;;3,00;2,95;0,0;0,6;0,2
2025/03/16 17:30:00;P;;2,99;2,94;0,0;0,5;0,4
2025/03/16 17:45:00;P;;2,97;2,92;0,0;0,5;0,3
2025/03/16 18:00:00;P;;2,96;2,91;0,0;0,5;0,2
2025/03/16 18:15:00;P;;2,94;2,90;0,0;0,6;0,2
2025/03/16 18:30:00;A;;2,93;2,88;0,0;0,8;0,2
2025/03/16 18:30:01;P;;;;;0,8;
2025/03/16 18:40:00;A;;;;;1,0;
2025/03/16 18:45:00;A;;2,91;2,86;0,0;0,7;0,4
2025/03/16 18:45:01;P;;;;;0,7;0,4
2025/03/16 18:50:00;A;;;;;0,5;0,2
2025/03/16 18:55:00;A;;;;;0,0;0,5
2025/03/16 19:00:00;P;;2,90;2,85;0,0;0,0;0,5
2025/03/16 19:15:00;P;;2,88;2,83;0,0;0,0;0,6
2025/03/16 19:25:00;A;;;;;;0,8
2025/03/16 19:30:00;A;;2,86;2,82;0,0;0,5;0,8
2025/03/16 19:30:01;P;;;;;0,5;
2025/03/16 19:35:00;A;;;;;;0,3
2025/03/16 19:45:00;P;;2,85;2,80;0,0;0,4;0,2
2025/03/16 19:50:00;A;;;;;0,0;
2025/03/16 20:00:00;P;;2,84;2,79;0,0;0,0;0,2
2025/03/16 20:10:00;A;;;;;0,5;
2025/03/16 20:15:00;P;;2,83;2,78;0,0;0,6;0,2
2025/03/16 20:25:00;A;;;;;0,0;
2025/03/16 20:30:00;P;;2,82;2,77;0,0;0,0;0,2
2025/03/16 20:45:00;P;;2,80;2,76;0,0;0,0;0,2
2025/03/16 21:00:00;A;;2,80;2,75;0,0;0,6;0,0
2025/03/16 21:00:01;P;;;;;0,6;
2025/03/16 21:10:00;A;;;;;0,0;
2025/03/16 21:15:00;P;;2,79;2,74;0,0;0,0;0,0
2025/03/16 21:20:00;A;;;;;;0,2
2025/03/16 21:30:00;P;;2,78;2,73;0,0;0,0;0,2
2025/03/16 21:45:00;P;;2,77;2,72;0,0;0,0;0,3
2025/03/16 22:00:00;P;;2,76;2,71;0,0;0,0;0,4
2025/03/16 22:15:00;P;;2,74;2,70;0,0;0,0;0,4
2025/03/16 22:30:00;P;;2,73;2,69;0,0;0,0;0,2
2025/03/16 22:45:00;P;;2,72;2,68;0,0;0,0;0,2
2025/03/16 23:00:00;P;;2,72;2,67;0,0;0,0;0,0
2025/03/16 23:10:00;A;;;;;;0,2
2025/03/16 23:15:00;P;;2,72;2,67;0,0;0,0;0,2
2025/03/16 23:30:00;P;;2,71;2,66;0,0;0,0;0,2
2025/03/16 23:45:00;A;;2,70;2,65;0,0;0,0;0,0
2025/03/16 23:45:01;P;;;;;;0,0
2025/03/17 00:00:00;P;;2,70;2,65;0,0;0,0;0,0
2025/03/17 00:15:00;P;;2,69;2,64;0,0;0,0;0,0
2025/03/17 00:30:00;P;;2,69;2,64;0,0;0,0;0,0
2025/03/17 00:45:00;P;;2,69;2,64;0,0;0,0;0,0
2025/03/17 01:00:00;P;;2,68;2,63;0,0;0,0;0,0
2025/03/17 01:15:00;P;;2,68;2,63;0,0;0,0;0,0
2025/03/17 01:30:00;P;;2,67;2,62;0,0;0,0;0,0
2025/03/17 01:45:00;P;;2,67;2,62;0,0;0,0;0,0
2025/03/17 02:00:00;P;;2,67;2,62;0,0;0,0;0,0
2025/03/17 02:15:00;P;;2,67;2,62;0,0;0,0;0,0
2025/03/17 02:30:00;P;;2,66;2,61;0,0;0,0;0,0
2025/03/17 02:45:00;P;;2,66;2,61;0,0;0,0;0,0
2025/03/17 03:00:00;P;;2,65;2,61;0,0;0,0;0,0
2025/03/17 03:15:00;P;;2,65;2,60;0,0;0,0;0,0
2025/03/17 03:30:00;P;;2,65;2,60;0,0;0,0;0,0
2025/03/17 03:45:00;P;;2,64;2,60;0,0;0,0;0,0
2025/03/17 04:00:00;P;;2,64;2,59;0,0;0,0;0,0
2025/03/17 04:15:00;P;;2,64;2,59;0,0;0,0;0,0
2025/03/17 04:30:00;P;;2,63;2,58;0,0;0,0;0,0
2025/03/17 04:45:00;P;;2,63;2,58;0,0;0,0;0,0
2025/03/17 05:00:00;P;;2,63;2,58;0,0;0,0;0,0
2025/03/17 05:15:00;P;;2,62;2,57;0,0;0,0;0,0
2025/03/17 05:30:00;P;;2,62;2,57;0,0;0,0;0,0
2025/03/17 05:35:00;A;;;;;;0,3
2025/03/17 05:45:00;P;;2,61;2,56;0,0;0,0;0,2
2025/03/17 06:00:00;P;;2,60;2,56;0,0;0,0;0,2
2025/03/17 06:10:00;A;;;;;0,5;0,5
2025/03/17 06:15:00;P;;2,59;2,54;0,0;0,5;0,4
2025/03/17 06:30:00;P;;2,58;2,53;0,0;0,6;0,5
2025/03/17 06:45:00;P;;2,55;2,50;0,0;0,5;0,6
2025/03/17 07:00:00;P;;2,53;2,48;0,0;0,7;0,6
2025/03/17 07:15:00;P;;2,51;2,46;0,0;0,7;0,4
2025/03/17 07:25:00;A;;;;;;0,7
2025/03/17 07:30:00;P;;2,50;2,45;0,0;0,6;0,7
2025/03/17 07:38:00;A;;2,56;2,50;;;
2025/03/17 07:45:00;A;;2,60;2,55;0,0;0,6;0,5
2025/03/17 07:45:01;P;;;;;;0,5
2025/03/17 07:50:00;A;;;;;1,2;
2025/03/17 07:54:00;A;;2,65;2,60;;;
2025/03/17 07:55:00;A;;;;;0,6;
2025/03/17 08:00:00;A;;2,69;2,64;0,0;0,0;0,5
2025/03/17 08:00:01;P;;;;;0,0;
2025/03/17 08:08:00;A;;2,74;2,70;;;
2025/03/17 08:10:00;A;;;;;;0,7
2025/03/17 08:15:00;A;;2,79;2,74;0,0;0,6;0,3
2025/03/17 08:15:01;P;;;;;0,6;0,3
2025/03/17 08:20:00;A;;;;;1,0;
