Date-time;Type;Metadato grafico storico;POZ007 - Mazzini - Misura pressione rete (bar);POZ007 - Mazzini - Misura portata rete modbus (l/s);POZ007 - Mazzini - Misura livello falda (m)
2025/03/01 13:12:00;A;;;;26,98
2025/03/01 13:13:00;A;;;;25,54
2025/03/01 13:14:00;A;;;;27,63
2025/03/01 13:15:00;A;;6,8;68,9;28,95
2025/03/01 13:15:01;P;;;;28,95
2025/03/01 13:16:00;A;;;;29,73
2025/03/01 13:17:00;A;;;;27,40
2025/03/01 13:18:00;A;;;;26,69
2025/03/01 13:20:00;A;;;;26,92
2025/03/01 13:21:00;A;;;;25,33
2025/03/01 13:22:00;A;;;;27,10
2025/03/01 13:25:00;A;;;;26,69
2025/03/01 13:26:00;A;;;;26,93
2025/03/01 13:29:00;A;;;;27,14
2025/03/01 13:30:00;P;;6,9;70,3;27,00
2025/03/01 13:32:00;A;;;;26,74
2025/03/01 13:33:00;A;;;;27,40
2025/03/01 13:34:00;A;;;;26,81
2025/03/01 13:37:00;A;;;;27,23
2025/03/01 13:38:00;A;;;;26,81
2025/03/01 13:39:00;A;;;;28,25
2025/03/01 13:40:00;A;;;;26,87
2025/03/01 13:41:00;A;;;;26,66
2025/03/01 13:42:00;A;;;;26,90
2025/03/01 13:44:00;A;;;;27,18
2025/03/01 13:45:00;A;;6,8;69,5;26,96
2025/03/01 13:45:01;P;;;;26,96
2025/03/01 13:46:00;A;;;;26,61
2025/03/01 13:48:00;A;;;;27,35
2025/03/01 13:49:00;A;;;;26,82
2025/03/01 13:50:00;A;;;;26,56
2025/03/01 13:51:00;A;;;;26,83
2025/03/01 13:52:00;A;;;;26,40
2025/03/01 13:53:00;A;;;;27,36
2025/03/01 13:54:00;A;;;;26,73
2025/03/01 13:55:00;A;;;;27,08
2025/03/01 13:56:00;A;;;;28,12
2025/03/01 13:57:00;A;;;;26,91
2025/03/01 13:58:00;A;;;;25,67
2025/03/01 13:59:00;A;;;;26,99
2025/03/01 14:00:00;P;;6,9;69,9;27,06
2025/03/01 14:01:00;A;;;;24,15
2025/03/01 14:02:00;A;;;;27,11
2025/03/01 14:03:00;A;;;;27,48
2025/03/01 14:04:00;A;;;;28,49
2025/03/01 14:05:00;A;;;;27,43
2025/03/01 14:06:00;A;;;;26,87
2025/03/01 14:08:00;A;;;;26,31
2025/03/01 14:09:00;A;;;;27,10
2025/03/01 14:10:00;A;;;;26,56
2025/03/01 14:11:00;A;;;;26,94
2025/03/01 14:12:00;A;;;;26,71
2025/03/01 14:13:00;A;;;;25,65
2025/03/01 14:14:00;A;;;;25,38
2025/03/01 14:15:00;A;;6,9;69,6;27,03
2025/03/01 14:15:01;P;;;;27,03
2025/03/01 14:16:00;A;;;;26,33
2025/03/01 14:18:00;A;;;;28,23
2025/03/01 14:19:00;A;;;;26,99
2025/03/01 14:21:00;A;;;;25,01
2025/03/01 14:22:00;A;;;;26,98
2025/03/01 14:23:00;A;;;;22,08
2025/03/01 14:24:00;A;;;;27,56
2025/03/01 14:25:00;A;;;;26,71
2025/03/01 14:27:00;A;;;;27,03
2025/03/01 14:28:00;A;;;;27,56
2025/03/01 14:29:00;A;;;;26,33
2025/03/01 14:30:00;A;;6,9;69,7;27,08
2025/03/01 14:30:01;P;;;;27,08
2025/03/01 14:31:00;A;;;;28,00
2025/03/01 14:32:00;A;;;;27,35
2025/03/01 14:34:00;A;;;;26,78
2025/03/01 14:35:00;A;;;;25,33
2025/03/01 14:36:00;A;;;;26,74
2025/03/01 14:37:00;A;;;;25,30
2025/03/01 14:38:00;A;;;;27,02
2025/03/01 14:39:00;A;;;;26,55
2025/03/01 14:40:00;A;;;;27,00
2025/03/01 14:41:00;A;;;;27,32
2025/03/01 14:43:00;A;;;;26,95
2025/03/01 14:45:00;A;;6,9;69,6;27,27
2025/03/01 14:45:01;P;;;;27,27
2025/03/01 14:46:00;A;;;;26,53
2025/03/01 14:47:00;A;;;;24,96
2025/03/01 14:48:00;A;;;;27,02
2025/03/01 14:49:00;A;;;;26,65
2025/03/01 14:50:00;A;;;;27,09
2025/03/01 14:51:00;A;;;;27,34
2025/03/01 14:52:00;A;;;;27,11
2025/03/01 14:53:00;A;;;;27,53
2025/03/01 14:54:00;A;;;;27,16
2025/03/01 14:59:00;A;;;;26,84
