Date-time;Type;Metadato grafico storico;POZ002 - Parma - Misura pressione rete (bar);POZ002 - Parma - Misura portata rete modbus (l/s);POZ002 - Parma - Misura livello falda (m)
2025/03/03 05:30:00;P;;9,1;35,5;8,92
2025/03/03 05:42:00;A;;;;8,66
2025/03/03 05:43:00;A;;;;8,88
2025/03/03 05:45:00;P;;9,1;36,1;8,95
2025/03/03 05:48:00;A;;;;8,70
2025/03/03 05:49:00;A;;;;8,92
2025/03/03 05:53:00;A;;;;9,17
2025/03/03 05:54:00;A;;;;8,93
2025/03/03 06:00:00;P;;9,2;36,8;8,94
2025/03/03 06:09:00;A;;;;9,17
2025/03/03 06:10:00;A;;;;8,94
2025/03/03 06:15:00;P;;9,1;36,7;9,06
2025/03/03 06:19:00;A;;;;9,26
2025/03/03 06:20:00;A;;;;8,94
2025/03/03 06:25:00;A;;;;9,20
2025/03/03 06:26:00;A;;;;8,95
2025/03/03 06:30:00;P;;9,0;37,9;8,90
2025/03/03 06:42:00;A;;;;9,16
2025/03/03 06:45:00;A;;8,9;40,0;8,95
2025/03/03 06:45:01;P;;;;8,95
2025/03/03 06:57:00;A;;;;9,28
2025/03/03 06:58:00;A;;;;9,03
2025/03/03 07:00:00;P;;8,8;41,3;9,09
2025/03/03 07:05:00;A;;;38,0;
2025/03/03 07:15:00;P;;8,9;39,5;8,98
2025/03/03 07:30:00;A;;8,9;39,7;8,65
2025/03/03 07:30:01;P;;;;8,65
2025/03/03 07:31:00;A;;;;8,99
2025/03/03 07:41:00;A;;;;9,21
2025/03/03 07:42:00;A;;;;8,99
2025/03/03 07:45:00;P;;8,9;40,3;9,00
2025/03/03 08:00:00;P;;8,9;40,1;9,01
2025/03/03 08:15:00;P;;8,9;40,5;8,97
2025/03/03 08:30:00;P;;8,9;39,9;8,98
2025/03/03 08:39:00;A;;;;8,76
2025/03/03 08:40:00;A;;;;8,98
2025/03/03 08:45:00;P;;8,9;39,0;9,18
2025/03/03 08:46:00;A;;;;8,97
2025/03/03 09:00:00;P;;9,0;38,7;8,97
2025/03/03 09:06:00;A;;;;9,38
2025/03/03 09:07:00;A;;;;8,98
2025/03/03 09:09:00;A;;;;9,21
2025/03/03 09:10:00;A;;;;8,97
2025/03/03 09:13:00;A;;;;9,27
2025/03/03 09:14:00;A;;;;8,96
2025/03/03 09:15:00;P;;8,9;38,9;8,99
2025/03/03 09:30:00;P;;8,9;38,6;8,90
2025/03/03 09:45:00;P;;9,0;38,6;8,96
2025/03/03 09:52:00;A;;;;8,71
2025/03/03 09:53:00;A;;;;8,97
2025/03/03 10:00:00;P;;8,9;38,5;8,96
2025/03/03 10:15:00;P;;9,0;38,0;8,97
2025/03/03 10:19:00;A;;;;8,76
2025/03/03 10:20:00;A;;;;8,98
2025/03/03 10:30:00;P;;9,0;38,1;8,98
2025/03/03 10:42:00;A;;;;9,30
2025/03/03 10:43:00;A;;;;8,96
2025/03/03 10:45:00;P;;9,0;37,9;8,97
2025/03/03 11:00:00;P;;9,1;37,2;8,97
2025/03/03 11:07:00;A;;;;9,38
2025/03/03 11:08:00;A;;;;8,98
2025/03/03 11:15:00;P;;9,0;38,0;8,95
2025/03/03 11:25:00;A;;;;9,15
2025/03/03 11:26:00;A;;;;8,87
2025/03/03 11:29:00;A;;;;9,14
2025/03/03 11:30:00;P;;9,0;37,3;8,96
2025/03/03 11:45:00;P;;9,0;37,5;8,95
2025/03/03 12:00:00;A;;9,0;37,7;9,47
2025/03/03 12:00:01;P;;;;9,47
2025/03/03 12:01:00;A;;;;8,81
2025/03/03 12:14:00;A;;;;9,32
