Date-time;Type;Metadato grafico storico;POZ005 - Battisti - Misura pressione rete (bar);POZ005 - Battisti - Misura portata rete modbus (l/s);POZ005 - Battisti - Misura livello falda (m)
2025/03/02 04:45:00;P;;8,5;0,0;10,76
2025/03/02 05:00:00;P;;8,5;0,0;10,76
2025/03/02 05:15:00;P;;8,7;0,0;10,76
2025/03/02 05:30:00;P;;8,6;0,0;10,76
2025/03/02 05:45:00;P;;8,6;0,0;10,75
2025/03/02 06:00:00;P;;8,7;0,0;10,75
2025/03/02 06:15:00;P;;8,8;0,0;10,76
2025/03/02 06:30:00;P;;8,7;0,0;10,76
2025/03/02 06:45:00;P;;8,7;0,0;10,76
2025/03/02 07:00:00;P;;8,6;0,0;10,76
2025/03/02 07:01:00;A;;8,8;;11,05
2025/03/02 07:05:00;A;;8,6;;10,78
2025/03/02 07:15:00;P;;8,4;0,0;10,77
2025/03/02 07:30:00;P;;8,3;0,0;10,77
2025/03/02 07:45:00;P;;8,2;0,0;10,76
2025/03/02 08:00:00;P;;8,2;0,0;10,77
2025/03/02 08:11:00;A;;8,0;;
2025/03/02 08:15:00;P;;8,0;0,0;10,77
2025/03/02 08:18:00;A;;8,5;;11,43
2025/03/02 08:20:00;A;;;69,0;
2025/03/02 08:21:00;A;;;;11,69
2025/03/02 08:30:00;P;;8,6;70,5;11,68
2025/03/02 08:45:00;P;;8,5;71,8;11,65
2025/03/02 08:49:00;A;;;;12,97
2025/03/02 08:50:00;A;;;;11,62
2025/03/02 09:00:00;P;;8,4;72,6;11,76
2025/03/02 09:07:00;A;;;;12,07
2025/03/02 09:08:00;A;;;;11,73
2025/03/02 09:10:00;A;;;68,7;
2025/03/02 09:15:00;P;;8,5;69,2;11,73
2025/03/02 09:18:00;A;;;;12,08
2025/03/02 09:19:00;A;;;;11,78
2025/03/02 09:25:00;A;;;;11,58
2025/03/02 09:30:00;A;;8,4;72,4;10,80
2025/03/02 09:30:01;P;;;72,4;10,80
2025/03/02 09:31:00;A;;;;10,52
2025/03/02 09:32:00;A;;;;12,29
2025/03/02 09:33:00;A;;;;11,64
2025/03/02 09:43:00;A;;;;11,88
2025/03/02 09:44:00;A;;;;11,52
2025/03/02 09:45:00;A;;8,5;72,6;11,82
2025/03/02 09:45:01;P;;;;11,82
