;;;;;;T:/acquedotto/modello_idraulico/Misure_portate_pressioni/svolgimento/dati;;;;;T:/acquedotto/modello_idraulico/calibrazione/iwws_live_data;;;
n;date_type;row1;sep;dir_in;type_inp;file_in;file_out;tipo_org;tipo_mis;udm;descri;note;file_corretto;note_correz
55;ITA;1;TAB;pozzi;simple_4;POLLER000000738_20231017_0000_20231103_2400_Mazzini.csv;cal55_POZ007_0738_28774_mazzini_rete_p;nodo;pressure;bar;POZ007 - Mazzini - Misura pressione rete (bar);;;
56;ITA;1;TAB;pozzi;simple_3;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal56_POZ004_0743_28932_ronco_1_sud_asilo_falda_liv;pozzo;level;m;POZ004/12/13 - Ronco - Misura livello falda pozzo 1 (m);confermare corrispondenza con nodi:: Ronco_Nord_nodo_monte, Ronco_Sud_nodo_monte, Ronco_Ovest_nodo_monte;;
57;ITA;1;TAB;pozzi;simple_4;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal57_POZ004_0743_28934_ronco_2_ovest_crip_falda_liv;pozzo;level;m;POZ004/12/13 - Ronco - Misura livello falda pozzo 2 (m);confermare corrispondenza con nodi:: Ronco_Nord_nodo_monte, Ronco_Sud_nodo_monte, Ronco_Ovest_nodo_monte;;
58;ITA;1;TAB;pozzi;simple_5;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal58_POZ004_0743_28936_ronco_3_nord_centr_falda_liv;pozzo;level;m;POZ004/12/13 - Ronco - Misura livello falda pozzo 3 (m);confermare corrispondenza con nodi:: Ronco_Nord_nodo_monte, Ronco_Sud_nodo_monte, Ronco_Ovest_nodo_monte;;
59;ITA;1;TAB;pozzi;simple_6;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal59_POZ004_0743_28940_ronco_1_sud_asilo_q;meter;flow;l/s;POZ004/12/13 - Ronco - Misura portata pozzo 1 (l/s);;;
60;ITA;1;TAB;pozzi;simple_7;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal60_POZ004_0743_28942_ronco_2_ovest_crip_q;meter;flow;l/s;POZ004/12/13 - Ronco - Misura portata pozzo 2 (l/s);;;
61;ITA;1;TAB;pozzi;simple_8;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal61_POZ004_0743_28944_ronco_3_nord_centr_q;meter;flow;l/s;POZ004/12/13 - Ronco - Misura portata pozzo 3 (l/s);;;
62;ITA;1;TAB;pozzi;simple_9;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal62_POZ004_0743_28818_ronco_q_totale;meter;flow;l/s;POZ004/12/13 - Ronco - Misura portata Ronco Totale (l/s);;;
63;ITA;1;TAB;pozzi;simple_10;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal63_POZ004_0743_28938_ronco_3_nord_centr_rete_p;nodo;pressure;bar;POZ004/12/13 - Ronco - Misura pressione rete pozzo 3 (bar);;;
64;ITA;1;TAB;pozzi;simple_11;POLLER000000743_20231017_0000_20231103_2400_Ronco.csv;cal64_POZ004_0743_28938_ronco_3_nord_centr_rete_p_perc;nodo;pressure;%;POZ004/12/13 - Ronco - Misura pressione rete pozzo 3 (Centrale) (%);;;
65;STD;1;semicolon;rilanci;simple_3;POLLER000000748_20231017_0000_20231103_2400_S.Giorgio.csv;cal65_RIL003_0748_28964_ril_s_giorgio_miram_q_imp;meter;flow;l/s;RIL003 - San Giorgio - Misura portata Miramonti (impulsiva) (mc);controllare unita` di misura;;
66;STD;1;semicolon;rilanci;simple_4;POLLER000000748_20231017_0000_20231103_2400_S.Giorgio.csv;cal66_RIL003_0748_28962_ril_s_giorgio_rete_q_imp;meter;flow;l/s;RIL003 - San Giorgio - Misura portata rete (impulsiva) (mc);controllare unita` di misura;;
67;STD;1;semicolon;rilanci;simple_5;POLLER000000748_20231017_0000_20231103_2400_S.Giorgio.csv;cal67_RIL003_0748_28772_ril_s_giorgio_miram_p;nodo;pressure;bar;RIL003 - San Giorgio - Misura pressione Miramonti (bar);;;
68;STD;1;semicolon;rilanci;simple_6;POLLER000000748_20231017_0000_20231103_2400_S.Giorgio.csv;cal68_RIL003_0748_28774_ril_s_giorgio_rete_p;nodo;pressure;bar;RIL003 - San Giorgio - Misura pressione rete (bar);;;
69;STD;1;semicolon;rilanci;simple_7;POLLER000000748_20231017_0000_20231103_2400_S.Giorgio.csv;cal69_RIL003_0748_28776_ril_s_giorgio_rilancio_p;nodo;pressure;bar;RIL003 - San Giorgio - Misura pressione rilancio (bar);;;
70;STD;1;semicolon;rilanci;simple_3;POLLER000000759_20231017_0000_20231103_2400_S.Maddalena.csv;cal70_RIL004_0759_28962_s_madda_usc_serb_q;meter;flow;l/s;RIL004/SER010 - S.Maddalena - Misura portata uscita serbatoio (impulsiva) (l/s);;;
71;STD;1;semicolon;rilanci;simple_4;POLLER000000759_20231017_0000_20231103_2400_S.Maddalena.csv;cal71_RIL004_0759_28774_s_madda_rete_p;nodo;pressure;bar;RIL004/SER010 - S.Maddalena - Misura pressione rete (bar);;;
72;STD;1;semicolon;rilanci;simple_5;POLLER000000759_20231017_0000_20231103_2400_S.Maddalena.csv;cal72_RIL004_0759_28776_s_madda_rilancio_p;nodo;pressure;bar;RIL004/SER010 - S.Maddalena - Misura pressione rilancio (bar);;;
73;STD;1;semicolon;rilanci;simple_2;POLLER000000762_20231017_0000_20231103_2400_Costa_di_Sotto.csv;cal73_RIL005_0762_28772_costa_di_sotto_rilancio_q;meter;flow;l/s;RIL005 - Costa di Sotto - Misura portata rilancio (l/s);;;
74;STD;1;semicolon;rilanci;simple_3;POLLER000000762_20231017_0000_20231103_2400_Costa_di_Sotto.csv;cal74_RIL005_0762_28774_costa_di_sotto_rete_p;nodo;pressure;bar;RIL005 - Costa di Sotto - Misura pressione rete (bar);;;
75;STD;1;semicolon;rilanci;simple_4;POLLER000000762_20231017_0000_20231103_2400_Costa_di_Sotto.csv;cal75_RIL005_0762_28776_costa_di_sotto_rilancio_p;nodo;pressure;bar;RIL005 - Costa di Sotto - Misura pressione rilancio (bar);;;
76;STD;1;semicolon;sorgenti;simple_2;POLLER000000749_20231017_0000_20231103_2400_Collare.csv;cal76_SOR002_0749_28778_collare_sorgente_modbus_q;meter;flow;l/s;SOR002 - Collare - Misura portata sorgente modbus (l/s);necessario inserire meter a valle del transfer node;;
77;STD;1;semicolon;sorgenti;simple_2;POLLER000000754_20231017_0000_20231103_2400_Grifo.csv;cal77_SOR003_0754_28778_grifo_sorgente_q_imp;meter;flow;l/s;SOR003 - Grifo - Misura portata sorgente impulsiva (l/s);nessun valore. Si puo` pero` predisporre il meter nella geometria;;
